Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;28/05/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;4; RR$	10,58 ; RR$	42,32 
Credito;21/05/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;2; RR$	14,27 ; RR$	28,54 
Credito;21/05/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;1; RR$	8,72 ; RR$	8,72 
Credito;21/05/2020;Transferência - Liquidação;ITSA4 - ITAUSA INVESTIMENTOS ITAU S.A.                    ;INTER DTVM LTDA;2; RR$	8,34 ; RR$	16,68 
Credito;21/05/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;8; RR$	3,81 ; RR$	30,48 
Credito;21/05/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;3; RR$	9,39 ; RR$	28,17 
Credito;19/05/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;4; RR$	8,89 ; RR$	35,56 
Credito;19/05/2020;Transferência - Liquidação;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1; RR$	89,97 ; RR$	89,97 
Credito;19/05/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	0,60 ; RR$	7,20 
Credito;15/05/2020;Rendimento;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	1,06 ; RR$	5,28 
Credito;15/05/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;30; RR$	0,40 ; RR$	12,00 
Credito;15/05/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,48 ; RR$	0,96 
Credito;15/05/2020;Rendimento;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;100; RR$	0,07 ; RR$	7,00 
Debito;13/05/2020;Direitos de Subscrição - Não Exercido;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;0;-;-
Credito;12/05/2020;Transferência - Liquidação;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	150,40 ; RR$	752,00 
Credito;12/05/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;2; RR$	85,99 ; RR$	171,98 
Debito;12/05/2020;Cessão de Direitos - Solicitada;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;12/05/2020;Cessão de Direitos;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;12/05/2020;Dividendo;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;72; RR$	0,02 ; RR$	1,25 
Credito;08/05/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	0,22 ; RR$	0,22 
Credito;07/05/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;1; RR$	85,49 ; RR$	85,49 
Credito;06/05/2020;Transferência - Liquidação;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;62; RR$	14,47 ; RR$	897,14 
Debito;06/05/2020;Transferência - Liquidação;KLBN11 - KLABIN S.A.                                       ;INTER DTVM LTDA;50; RR$	17,90 ; RR$	895,00 
Credito;06/05/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;10; RR$	9,97 ; RR$	99,70 
Credito;04/05/2020;Transferência - Liquidação;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;5; RR$	149,20 ; RR$	746,00 
Debito;04/05/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;58; RR$	22,80 ; RR$	1.322,40 
Credito;04/05/2020;Transferência - Liquidação;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;63; RR$	15,90 ; RR$	1.001,70 
Credito;04/05/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;72; RR$	4,21 ; RR$	303,12 
Credito;28/04/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;13; RR$	8,86 ; RR$	115,18 
Credito;24/04/2020;Direito de Subscrição;MGFF12 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;1;-;-
Credito;23/04/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;58; RR$	20,99 ; RR$	1.217,42 
Debito;23/04/2020;Transferência - Liquidação;SULA11 - SUL AMERICA S.A.                                  ;INTER DTVM LTDA;27; RR$	46,19 ; RR$	1.247,13 
Credito;22/04/2020;Transferência - Liquidação;KLBN11 - KLABIN S.A.                                       ;INTER DTVM LTDA;32; RR$	15,84 ; RR$	506,88 
Credito;22/04/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;100; RR$	9,99 ; RR$	999,00 
Debito;22/04/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;1; RR$	3,56 ; RR$	3,56 
Credito;20/04/2020;Transferência - Liquidação;ITSA4 - ITAUSA INVESTIMENTOS ITAU S.A.                    ;INTER DTVM LTDA;28; RR$	9,08 ; RR$	254,24 
Credito;17/04/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	0,60 ; RR$	7,20 
Debito;16/04/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;30; RR$	20,10 ; RR$	603,00 
Debito;16/04/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;49; RR$	11,72 ; RR$	574,28 
Credito;16/04/2020;Transferência - Liquidação;SULA11 - SUL AMERICA S.A.                                  ;INTER DTVM LTDA;27; RR$	43,98 ; RR$	1.187,46 
Credito;15/04/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;27; RR$	0,40 ; RR$	10,80 
Credito;15/04/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,45 ; RR$	0,90 
Credito;09/04/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;104; RR$	17,66 ; RR$	1.836,64 
Debito;09/04/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;22; RR$	42,00 ; RR$	924,00 
Credito;08/04/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;49; RR$	10,40 ; RR$	509,60 
Credito;08/04/2020;Transferência - Liquidação;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	83,48 ; RR$	1.001,76 
Credito;07/04/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	0,22 ; RR$	0,22 
Credito;06/04/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;8; RR$	35,49 ; RR$	283,92 
Credito;01/04/2020;Transferência - Liquidação;KLBN11 - KLABIN S.A.                                       ;INTER DTVM LTDA;18; RR$	16,61 ; RR$	298,98 
Credito;31/03/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;30; RR$	18,26 ; RR$	547,80 
Debito;31/03/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;44; RR$	12,27 ; RR$	539,88 
Credito;31/03/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;14; RR$	39,68 ; RR$	555,52 
Credito;30/03/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;24; RR$	21,18 ; RR$	508,32 
Debito;30/03/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;67; RR$	17,45 ; RR$	1.169,15 
Credito;30/03/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;44; RR$	11,35 ; RR$	499,40 
Debito;30/03/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;45; RR$	14,43 ; RR$	649,35 
Debito;27/03/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;22; RR$	10,42 ; RR$	229,24 
Credito;27/03/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;67; RR$	15,00 ; RR$	1.005,00 
Credito;27/03/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;45; RR$	11,20 ; RR$	504,00 
Debito;27/03/2020;Transferência - Liquidação;JBSS3 - JBS S.A.                                          ;INTER DTVM LTDA;80; RR$	22,70 ; RR$	1.816,00 
Credito;27/03/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;42; RR$	5,35 ; RR$	224,70 
Credito;26/03/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;1; RR$	2,96 ; RR$	2,96 
Credito;19/03/2020;Atualização;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;3;-;-
Credito;18/03/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;13; RR$	8,31 ; RR$	108,03 
Credito;17/03/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;5; RR$	9,25 ; RR$	46,25 
Credito;13/03/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;24; RR$	0,53 ; RR$	12,72 
Credito;13/03/2020;Rendimento;BCFF13 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;3; RR$	0,10 ; RR$	0,28 
Credito;13/03/2020;Transferência - Liquidação;JBSS3 - JBS S.A.                                          ;INTER DTVM LTDA;50; RR$	18,08 ; RR$	904,00 
Credito;13/03/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,46 ; RR$	0,91 
Credito;11/03/2020;Transferência - Liquidação;JBSS3 - JBS S.A.                                          ;INTER DTVM LTDA;30; RR$	18,46 ; RR$	553,80 
Credito;11/03/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;35; RR$	9,56 ; RR$	334,60 
Credito;09/03/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;50; RR$	14,02 ; RR$	701,00 
Credito;06/03/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	0,60 ; RR$	0,60 
Credito;06/03/2020;Juros Sobre Capital Próprio;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	0,04 ; RR$	0,03 
Debito;05/03/2020;Transferência - Liquidação;MRFG3 - MARFRIG GLOBAL FOODS S.A.                         ;INTER DTVM LTDA;22; RR$	13,16 ; RR$	289,52 
Credito;05/03/2020;Transferência - Liquidação;VVAR3 - VIA VAREJO S.A.                                   ;INTER DTVM LTDA;30; RR$	14,74 ; RR$	442,20 
Debito;04/03/2020;Transferência - Liquidação;JBSS3 - JBS S.A.                                          ;INTER DTVM LTDA;10; RR$	22,54 ; RR$	225,40 
Debito;04/03/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;33; RR$	3,92 ; RR$	129,36 
Credito;03/03/2020;Transferência - Liquidação;JBSS3 - JBS S.A.                                          ;INTER DTVM LTDA;10; RR$	21,98 ; RR$	219,80 
Credito;02/03/2020;Dividendo;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	0,02 ; RR$	0,01 
Credito;02/03/2020;Transferência - Liquidação;MRFG3 - MARFRIG GLOBAL FOODS S.A.                         ;INTER DTVM LTDA;10; RR$	12,59 ; RR$	125,90 
Credito;20/02/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;17; RR$	95,98 ; RR$	1.631,66 
Credito;14/02/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;7; RR$	0,57 ; RR$	3,99 
Debito;14/02/2020;Transferência - Liquidação;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	31,34 ; RR$	31,34 
Credito;14/02/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,16 ; RR$	0,31 
Credito;13/02/2020;Transferência - Liquidação;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;1; RR$	118,96 ; RR$	118,96 
Debito;12/02/2020;Direitos de Subscrição - Excercído;BCFF12 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;3;-;-
Debito;12/02/2020;Solicitação de Subscrição;BCFF12 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;3;-;-
Credito;04/02/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;18; RR$	3,69 ; RR$	66,42 
Credito;03/02/2020;Dividendo;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	0,02 ; RR$	0,01 
Credito;29/01/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;1; RR$	106,35 ; RR$	106,35 
Credito;29/01/2020;Transferência - Liquidação;DIRR3 - DIRECIONAL ENGENHARIA S.A.                        ;INTER DTVM LTDA;6; RR$	17,97 ; RR$	107,82 
Credito;29/01/2020;Transferência - Liquidação;MRFG3 - MARFRIG GLOBAL FOODS S.A.                         ;INTER DTVM LTDA;2; RR$	11,88 ; RR$	23,76 
Credito;28/01/2020;Direito de Subscrição;BCFF12 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;3;-;-
Credito;24/01/2020;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;2; RR$	113,99 ; RR$	227,98 
Debito;24/01/2020;Transferência - Liquidação;FLMA11 - FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA        ;INTER DTVM LTDA;10; RR$	4,07 ; RR$	40,70 
Credito;24/01/2020;Transferência - Liquidação;MRFG3 - MARFRIG GLOBAL FOODS S.A.                         ;INTER DTVM LTDA;10; RR$	11,79 ; RR$	117,90 
Credito;15/01/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;4; RR$	0,57 ; RR$	2,28 
Credito;15/01/2020;Rendimento;FLMA11 - FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA        ;INTER DTVM LTDA;10; RR$	0,02 ; RR$	0,15 
Credito;15/01/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,04 ; RR$	0,07 
Credito;14/01/2020;Transferência - Liquidação;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	30,63 ; RR$	30,63 
Credito;13/01/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;15; RR$	3,74 ; RR$	56,10 
Credito;07/01/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;4; RR$	15,45 ; RR$	61,80 
Debito;07/01/2020;Transferência - Liquidação;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	32,57 ; RR$	32,57 
Credito;02/01/2020;Dividendo;ITUB3 - ITAU UNIBANCO HOLDING S.A.                        ;INTER DTVM LTDA;1; RR$	0,02 ; RR$	0,01 